DateTime,Entries,UniqueIPs
1519669227,3746,3778
1519672229,3753,3785
1519676430,3752,3785
1519680027,3757,3790
1519687226,3753,3786
1519690829,3745,3778
1519694427,3732,3765
1519698029,3724,3757
1519701026,3717,3750
1519704629,3723,3756
1519708229,3723,3756
1519711829,3724,3757
1519715427,3727,3760
1519722626,3729,3762
1519726229,3725,3758
1519728026,3727,3760
1519731628,3732,3766
1519735227,3733,3768
1519738829,3726,3761
1519742427,3726,3761
1519744229,3723,3758
1519747826,3731,3766
1519751429,3731,3765
1519753226,3730,3761
1519756829,3736,3767
1519764626,3727,3758
1519768235,3728,3759
1519771826,3725,3756
1519775429,3789,3820
1519779026,3795,3826
1519782029,3820,3851
1519785632,3946,3977
1519789226,3953,3985
1519792830,4026,4058
1519794627,4117,4149
1519798230,4378,4412
1519802430,4424,4459
1519806027,4432,4467
1519809631,4418,4452
1519813228,4427,4461
1519816231,4436,4470
1519819828,4437,4471
1519824031,4427,4461
1519827628,4432,4466
1519831230,4433,4467
1519834828,4436,4470
1519837830,4433,4467
1519841428,4396,4430
1519849228,4334,4368
1519856428,4339,4373
1519860030,4331,4365
1519863628,4338,4372
1519867230,4331,4365
1519870828,4314,4348
1519874430,4322,4356
1519878028,4319,4353
1519882230,4306,4339
1519885827,4312,4345
1519888830,4308,4341
1519892427,4303,4336
1519895429,4299,4332
1519899650,4284,4317
1519903227,4286,4319
1519906828,4287,4320
1519910426,4295,4328
1519913429,4295,4328
1519917029,4300,4334
1519920629,4308,4342
1519924227,4312,4346
1519927829,4317,4351
1519932028,4318,4352
1519935627,4321,4355
1519939232,4127,4161
1519942226,4134,4168
1519946429,3716,3747
1519950027,3738,3769
1519953629,3758,3789
1519956627,3747,3777
1519963826,3746,3777
1519967429,3745,3776
1519971026,3743,3774
1519975229,3743,3774
1519978826,3752,3783
1519982429,3748,3779
1519985426,3749,3780
1519989629,3749,3780
1519993226,3755,3786
1519996830,3744,3775
1520000427,3745,3776
1520003428,3748,3778
1520007026,3746,3776
1520010631,3746,3776
1520014226,3745,3775
1520018430,3740,3770
1520022026,3745,3775
1520025029,3752,3782
1520029231,3741,3771
1520032827,3749,3779
1520036428,3746,3776
1520040026,3747,3777
1520043629,3746,3776
1520046627,3742,3772
1520050229,3742,3772
1520053825,3741,3771
1520055628,3731,3761
1520059828,3731,3761
1520063425,3734,3764
1520066428,3728,3758
1520074226,3733,3763
1520077228,3729,3759
1520080827,3735,3765
1520082629,3734,3764
1520086833,3729,3760
1520090427,3745,3776
1520094029,3746,3777
1520097027,3746,3777
1520104226,3755,3786
1520107829,3752,3783
1520111426,3750,3781
1520115028,3748,3779
1520122226,3755,3785
1520126428,3740,3770
1520130026,3745,3775
1520133629,3738,3768
1520137244,3740,3770
1520140233,3735,3765
1520143827,3738,3768
1520148028,3732,3762
1520151626,3736,3766
1520155229,3735,3765
1520158227,3736,3766
1520160029,3716,3746
1520163626,3717,3747
1520167228,3720,3750
1520170826,3714,3744
1520174428,3718,3748
1520178027,3715,3745
1520181629,3715,3745
1520185226,3711,3741
1520187029,3693,3723
1520190626,3699,3729
1520197826,3688,3719
1520201429,3693,3724
1520205027,3691,3722
1520208629,3680,3711
1520212828,3676,3707
1520216426,3682,3713
1520220029,3676,3707
1520223026,3663,3694
1520226629,3670,3701
1520233825,3663,3694
1520237429,3666,3697
1520239226,3659,3690
1520242829,3662,3693
1520246426,3634,3665
1520250029,3636,3667
1520253626,3638,3669
1520257228,3635,3666
1520260826,3639,3670
1520268627,3635,3666
1520271629,3635,3666
1520275226,3631,3662
1520277028,3630,3661
1520284226,3620,3651
1520288430,3622,3653
1520292026,3628,3659
1520295629,3624,3655
1520298632,3616,3646
1520302229,3610,3640
1520305825,3608,3638
1520309425,3604,3634
1520316626,3425,3454
1520320229,3430,3459
1520323827,3422,3452
1520325628,3425,3455
1520329226,3423,3453
1520332828,3422,3452
1520336426,3423,3452
1520338229,3418,3447
1520341826,3413,3442
1520346028,3412,3441
1520349628,3417,3446
1520352630,3406,3434
1520356227,3410,3438
1520358035,3408,3435
1520361632,3412,3439
1520365835,3403,3430
1520368834,3408,3435
1520372435,3408,3435
1520376033,3407,3434
1520379635,3406,3433
1520383232,3404,3431
1520390432,3372,3399
1520394035,3375,3402
1520397632,3372,3399
1520401234,3374,3401
1520404832,3152,3179
1520410232,3156,3183
1520413835,3143,3170
1520417432,3137,3164
1520421034,3128,3155
1520424632,3127,3154
1520428234,3127,3155
1520431832,3132,3160
1520435435,3127,3155
1520437231,3133,3161
1520440834,3133,3161
1520444432,3127,3155
1520448035,3130,3158
1520451632,3135,3163
1520458833,3137,3165
1520466633,3143,3171
1520470234,3136,3164
1520473831,3138,3166
1520476844,3130,3158
1520480432,3126,3154
1520484035,2992,3020
1520487632,2993,3021
1520491234,2762,2790
1520494832,2752,2780
1520498435,2745,2773
1520502033,2734,2762
1520505635,2740,2769
1520509834,2582,2612
1520513432,2585,2615
1520517035,2589,2619
1520520632,2585,2615
1520523634,2573,2603
1520527232,2566,2596
1520530834,2568,2599
1520535035,2567,2598
1520538633,2571,2602
1520542235,2563,2594
1520545832,2569,2600
1520548836,2575,2606
1520553035,2565,2596
1520556632,2575,2606
1520563832,2576,2607
1520566833,2577,2608
1520570433,2575,2606
1520577632,2569,2600
1520581834,2552,2583
1520585432,2557,2589
1520589035,2559,2591
1520592632,2553,2585
1520596234,2560,2592
1520599233,2553,2586
1520607032,2546,2578
1520610635,2547,2579
1520614232,2542,2574
1520617234,2538,2570
1520620832,2540,2572
1520622635,2543,2575
1520626835,2534,2567
1520630432,2536,2569
1520634035,2538,2571
1520637634,2522,2555
1520641235,2546,2579
1520644832,2611,2642
1520648434,2654,2692
1520651432,2662,2700
1520655034,2661,2699
1520658638,2676,2714
1520662232,2677,2715
1520665834,2678,2716
1520669432,2676,2714
1520676632,2678,2715
1520680835,2683,2720
1520684433,2685,2722
1520689234,2689,2726
1520697033,2681,2718
1520700036,2679,2716
1520707233,2695,2732
1520715032,2699,2736
1520718636,2698,2734
1520722233,2692,2728
1520725235,2695,2731
1520728833,2696,2733
1520733035,2688,2725
1520736632,2692,2729
1520739635,2691,2728
1520746832,2694,2730
1520751035,2694,2730
1520754632,2696,2732
1520758237,2690,2726
1520761232,2684,2720
1520764836,2688,2724
1520768433,2680,2716
1520775632,2679,2715
1520782833,2684,2720
1520790035,2686,2723
1520793635,2689,2726
1520797233,2684,2720
1520800835,2692,2728
1520808033,2690,2726
1520811636,2696,2731
1520816435,2692,2727
1520819433,2694,2729
1520823034,2691,2726
1520826033,2692,2727
1520829635,2697,2732
1520833232,2689,2724
1520836834,2690,2725
1520844033,2695,2730
1520851231,2682,2717
1520854834,2686,2721
1520858433,2683,2718
1520865632,2668,2703
1520869235,2670,2705
1520877035,2672,2707
1520880032,2670,2705
1520887832,2671,2706
1520890834,2666,2701
1520894433,2676,2711
1520899235,2671,2706
1520902232,2675,2710
1520905235,2673,2708
1520912432,2673,2708
1520916035,2663,2698
1520919634,2667,2702
1520923237,2668,2703
1520926832,2667,2701
1520930434,2671,2705
1520934033,2662,2696
1520937635,2665,2699
1520944832,2674,2708
1520948435,2674,2708
1520952032,2680,2714
1520955633,2681,2715
1520962232,2680,2715
1520964635,2681,2716
1520966432,2679,2714
1520970035,2682,2717
1520973632,2682,2717
1520977235,2672,2706
1520980234,2676,2710
1520982635,2665,2698
1520986232,2665,2698
1520990435,2663,2696
1520994032,2665,2698
1520997036,2667,2700
